machine,cpu_model,dataset,N,d,k,RF,method,num_queries,num_repeats,geomean_total_ms,mean_total_ms,median_total_ms,p95_total_ms,geomean_query_sketch_ms,geomean_binary_scan_ms,geomean_candidate_selection_ms,geomean_rescore_ms,geomean_final_topk_ms,mean_ndcg100,geomean_unaccounted_ms,std_ndcg100,mean_jaccard,mean_num_survivors
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,0,binary,313,10,0.1947982067257832,0.1949972124600639,0.192271,0.214052,0.003755685137386392,0.16211424969195354,0.02610437979436957,1.000000000000001e-12,1.000000000000001e-12,0.5885423900022978,0.002691623488575061,0.07146437895004126,0.4549078683106302,100.0
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,0,float32_avx2,313,10,5.390457715910522,5.391000000000001,5.367,5.534,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12,1.000000000000001e-12,0.9959626330914717,5.390457715910522,0.0035044332212866847,0.9948172227483978,100.0
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,10,two_step_RF10,313,10,0.4987660365878945,0.4990150514376997,0.497129,0.528082,0.0034713940230386518,0.12392328644821617,0.12046368316496267,0.24306443294885643,0.004965476690636399,0.9842087615340102,0.002107671920601682,0.026336002620506473,0.970253142967497,1000.0
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,10,two_step_mf_RF10,313,10,0.8843828656800623,0.8846077389776358,0.884562,0.91563,0.0034377077168394493,0.12738122187417283,0.11819998034745759,0.6274903227195208,0.004990944342034613,0.9695603555261307,0.002304545047096937,0.03017811696618862,0.9521521517908992,1000.0
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,50,two_step_RF50,313,10,1.6045505156019826,1.6047933003194887,1.6021755,1.650281,0.002053922790369126,0.12181587780992799,0.5135401760899011,0.9570927826796282,0.005648939827873648,0.9957157460484288,0.0038640167391141788,0.003860764359581874,0.9941882931010635,5000.0
meow1,AMD Ryzen 9 9950X 16-Core Processor,wikimedia_wikipedia_mxbai,60000,1024,100,50,two_step_mf_RF50,313,10,3.2040396688047,3.2042432115015975,3.201415,3.262169,0.002111202899695639,0.12160802636720666,0.5067721576138338,2.564590931272332,0.005637318695949763,0.9788420007095034,0.002864058010268161,0.012783128053724656,0.9720666984898617,5000.0
