git_commit,machine,cpu_model,compiler,compile_flags,dataset,dataset_path,query_path,N,d,k,RF,method,query_id,repeat_id,T_query_sketch_ms,T_binary_scan_ms,T_candidate_selection_ms,T_rescore_ms,T_final_topk_ms,T_total_ms,T_component_sum_ms,T_unaccounted_ms,ndcg100,jaccard,num_survivors
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_mf_RF10,1,0,0.003567,0.145012,0.118994,0.655081,0.00511,0.930208,0.927764,0.0024440000000000017,0.9858040388010056,0.9801980198019802,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,50,two_step_mf_RF50,1,0,0.002294,0.126117,0.510209,2.557756,0.005691,3.204681,3.202067,0.002613999999999894,0.9858040388010056,0.9801980198019802,5000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,float32_avx2,2,0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,5.33,0.9966517225713135,1.0,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,binary,2,0,0.003967,0.157917,0.025137,0.0,0.0,0.189536,0.187021,0.0025150000000000172,0.5705343198837818,0.45985401459854014,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_RF10,2,0,0.003216,0.118353,0.112812,0.240392,0.00515,0.482196,0.479923,0.002273000000000025,0.9966517225713135,1.0,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,50,two_step_RF50,2,0,0.001934,0.124594,0.491794,0.945307,0.00552,1.58078,1.569149,0.011631000000000169,0.9966517225713135,1.0,5000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_mf_RF10,2,0,0.003357,0.125906,0.110788,0.629293,0.004819,0.876186,0.874163,0.002022999999999997,0.9825471309702399,0.9801980198019802,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,50,two_step_mf_RF50,2,0,0.002414,0.121078,0.488638,2.574517,0.005831,3.194873,3.1924780000000004,0.002394999999999481,0.9825471309702399,0.9801980198019802,5000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,float32_avx2,3,0,0.0,0.0,0.0,0.0,0.0,5.336,0.0,5.336,0.998705805528337,1.0,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N60000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,binary,3,0,0.004098,0.162065,0.023264,0.0,0.0,0.193022,0.18942699999999998,0.003595000000000015,0.6577018784499035,0.5267175572519084,100
